Date,Q,P,T
14.09.1981 00:00:00,0.58,0,11.97
15.09.1981 00:00:00,0.8,0,9.78
16.09.1981 00:00:00,0.79,0,12.3
17.09.1981 00:00:00,0.85,28.2,15.89
18.09.1981 00:00:00,2.06,7.8,12.22
19.09.1981 00:00:00,2.06,0,10.15
20.09.1981 00:00:00,2.2,0,9.46
21.09.1981 00:00:00,2.62,0,10.81
22.09.1981 00:00:00,2.43,0,11.73
23.09.1981 00:00:00,2.06,0,10.49
24.09.1981 00:00:00,2.06,0,10.59
25.09.1981 00:00:00,1.85,0,12.03
26.09.1981 00:00:00,1.73,0,13.6
27.09.1981 00:00:00,1.54,0,15.35
28.09.1981 00:00:00,1.33,0,14.71
29.09.1981 00:00:00,1.14,0,13.29
30.09.1981 00:00:00,1.12,0,14.36
01.10.1981 00:00:00,1.12,0,14.43
02.10.1981 00:00:00,1.12,0,13.69
03.10.1981 00:00:00,1.12,0,13.67
04.10.1981 00:00:00,1.03,0,13.84
05.10.1981 00:00:00,0.83,0,14.35
06.10.1981 00:00:00,0.87,3.1,14.16
07.10.1981 00:00:00,0.83,7.8,8.03
08.10.1981 00:00:00,0.85,3.6,5.73
09.10.1981 00:00:00,0.83,5.7,4.09
10.10.1981 00:00:00,1.08,3,10.61
11.10.1981 00:00:00,1.05,7.8,13.62
12.10.1981 00:00:00,2.14,23.3,9.47
13.10.1981 00:00:00,4.12,0,6.41
14.10.1981 00:00:00,4.7,0,4.24
15.10.1981 00:00:00,5.5,0,3.55
16.10.1981 00:00:00,4.95,0,4.64
17.10.1981 00:00:00,4.45,0,4.46
18.10.1981 00:00:00,4.03,6.4,9.89
19.10.1981 00:00:00,3.91,2.3,5.72
20.10.1981 00:00:00,3.3,0,4.22
21.10.1981 00:00:00,3.17,0,1.34
22.10.1981 00:00:00,2.95,0,1.72
23.10.1981 00:00:00,2.78,0,1.65
24.10.1981 00:00:00,2.78,0,8.63
25.10.1981 00:00:00,2.65,0,8.36
26.10.1981 00:00:00,2.21,0,7.2
27.10.1981 00:00:00,2.08,0,7.54
28.10.1981 00:00:00,2.06,0,8.54
29.10.1981 00:00:00,2.06,0,7.48
30.10.1981 00:00:00,2.06,0,8.16
31.10.1981 00:00:00,2.06,0,8.26
01.11.1981 00:00:00,1.81,0,6.08
02.11.1981 00:00:00,1.73,0,6.55
03.11.1981 00:00:00,1.73,0,6.15
04.11.1981 00:00:00,1.73,0,4.83
05.11.1981 00:00:00,1.73,0,6.99
06.11.1981 00:00:00,1.73,0,5.91
07.11.1981 00:00:00,1.71,0,8.28
08.11.1981 00:00:00,1.67,0,5.43
09.11.1981 00:00:00,1.44,0,4.09
10.11.1981 00:00:00,1.38,0,6.35
11.11.1981 00:00:00,1.31,0,1.85
12.11.1981 00:00:00,1.16,0,-1.13
13.11.1981 00:00:00,1.25,0,-0.2
14.11.1981 00:00:00,1.18,0,-0.81
15.11.1981 00:00:00,1.12,0,0.41
16.11.1981 00:00:00,1.12,0,-0.39
17.11.1981 00:00:00,1.12,0,0.86
18.11.1981 00:00:00,1.12,0,3.59
19.11.1981 00:00:00,1.12,0,4.55
20.11.1981 00:00:00,1.12,0,3.3
21.11.1981 00:00:00,1.12,0,2.26
22.11.1981 00:00:00,1.12,0,0.87
23.11.1981 00:00:00,1.12,0,-0.4
24.11.1981 00:00:00,1.12,0,-0.21
25.11.1981 00:00:00,1.12,0,-0.64
26.11.1981 00:00:00,1.08,0,2.93
27.11.1981 00:00:00,1,0,5.37
28.11.1981 00:00:00,0.87,0,1.15
29.11.1981 00:00:00,0.9,0,-1.53
30.11.1981 00:00:00,0.84,0.7,2.58
01.12.1981 00:00:00,0.83,0,4.39
02.12.1981 00:00:00,0.83,1,6.87
03.12.1981 00:00:00,0.83,4.2,3.86
04.12.1981 00:00:00,1.02,34,6.71
05.12.1981 00:00:00,4.42,3.8,2.55
06.12.1981 00:00:00,4.71,3.3,1.45
07.12.1981 00:00:00,5.83,5.5,2.29
08.12.1981 00:00:00,6.57,1.9,3.76
09.12.1981 00:00:00,7.11,4.2,4.21
10.12.1981 00:00:00,7.69,0,1.09
11.12.1981 00:00:00,7.56,0,-2.56
12.12.1981 00:00:00,7.14,3.3,3.1
13.12.1981 00:00:00,7.14,3.9,3.6
14.12.1981 00:00:00,7.32,4.8,4.9
15.12.1981 00:00:00,8.33,5.3,3.18
16.12.1981 00:00:00,11.37,20.6,3.44
17.12.1981 00:00:00,15.24,4.1,1.48
18.12.1981 00:00:00,16.26,2.3,0.29
19.12.1981 00:00:00,15.39,0,-0.75
20.12.1981 00:00:00,14.51,2.1,-1.19
21.12.1981 00:00:00,13.34,1.2,1.43
22.12.1981 00:00:00,12.69,4.6,1.74
23.12.1981 00:00:00,12.74,4.6,4.05
24.12.1981 00:00:00,13.51,5.2,3.24
25.12.1981 00:00:00,14.94,2.4,1.98
26.12.1981 00:00:00,16.11,0,4.79
27.12.1981 00:00:00,15.52,0,5.17
28.12.1981 00:00:00,14.91,0,3.48
29.12.1981 00:00:00,14.25,4.8,2.88
30.12.1981 00:00:00,13.81,2.1,1.17
31.12.1981 00:00:00,12.93,4.8,1.02
01.01.1982 00:00:00,12.9,2,6.24
02.01.1982 00:00:00,13.75,4.2,8.16
03.01.1982 00:00:00,14.31,3.6,5.23
04.01.1982 00:00:00,14.82,7.2,4.53
05.01.1982 00:00:00,16.54,18.2,2.41
06.01.1982 00:00:00,18.48,1,1.51
07.01.1982 00:00:00,18.64,11.1,1.35
08.01.1982 00:00:00,19.16,5.9,2.23
09.01.1982 00:00:00,20.43,9.1,2.09
10.01.1982 00:00:00,22.41,0,2.97
11.01.1982 00:00:00,23.72,0,3.41
12.01.1982 00:00:00,23.08,7.4,4.25
13.01.1982 00:00:00,22.48,3.5,1.6
14.01.1982 00:00:00,22.98,0,0.05
15.01.1982 00:00:00,23.41,0,-3.96
16.01.1982 00:00:00,22.74,0,-4.51
17.01.1982 00:00:00,22.4,0,-4.96
18.01.1982 00:00:00,21.6,4.5,-4.07
19.01.1982 00:00:00,21.82,23.6,2.67
20.01.1982 00:00:00,23.2,1.9,1.12
21.01.1982 00:00:00,23.37,16.7,1.01
22.01.1982 00:00:00,24.35,6.7,3.12
23.01.1982 00:00:00,25.07,3.2,2.36
24.01.1982 00:00:00,29.02,0.7,0.65
25.01.1982 00:00:00,31.7,0,-0.9
26.01.1982 00:00:00,32.12,0,-3.29
27.01.1982 00:00:00,31.97,2.9,-2.4
28.01.1982 00:00:00,31.53,3,-1.67
29.01.1982 00:00:00,30.7,0,-2.57
30.01.1982 00:00:00,29.87,0,-4.92
31.01.1982 00:00:00,29.21,0,-6.74
01.02.1982 00:00:00,28.51,0,-10.43
02.02.1982 00:00:00,27.82,0,-13.26
03.02.1982 00:00:00,27.29,0,-13.48
04.02.1982 00:00:00,26.62,0,-15.35
05.02.1982 00:00:00,26.31,0,-16.11
06.02.1982 00:00:00,25.24,0,-16.4
07.02.1982 00:00:00,24.68,0,-13.62
