Date;Obs;Sim;Sim_Error
1990-01-30;6.680000;14.184563;0.365462
1990-01-31;7.850000;15.147262;0.369406
1990-02-01;9.780000;14.491632;0.396418
1990-02-02;12.860000;15.918563;0.392107
1990-02-03;15.750000;16.585338;0.385533
1990-02-04;18.860000;19.036674;0.422700
1990-02-05;16.610000;19.496563;0.441165
1990-02-06;20.400000;20.077442;0.416911
1990-02-07;20.040000;19.380329;0.420344
1990-02-08;20.140000;19.543900;0.428854
1990-02-09;21.000000;18.506377;0.418111
1990-02-10;22.520000;19.264013;0.436381
1990-02-11;23.180000;19.449140;0.447601
1990-02-12;22.940000;20.323939;0.426550
1990-02-13;23.300000;19.924681;0.416141
1990-02-14;23.340000;21.166108;0.410528
1990-02-15;23.650000;21.023669;0.430739
1990-02-16;23.300000;21.776781;0.438715
1990-02-17;23.300000;21.173476;0.409736
1990-02-18;23.200000;21.429894;0.421676
1990-02-19;23.080000;21.121662;0.409799
1990-02-20;22.340000;21.401778;0.419464
1990-02-21;22.280000;21.508507;0.401550
1990-02-22;22.260000;21.575869;0.416989
1990-02-23;22.260000;21.481548;0.402610
1990-02-24;22.040000;21.509792;0.385600
1990-02-25;22.570000;21.578303;0.391343
1990-02-26;23.200000;22.733960;0.387197
1990-02-27;22.360000;22.521461;0.384727
1990-02-28;21.920000;22.723753;0.399057
1990-03-01;22.990000;22.276559;0.371222
1990-03-02;22.650000;22.150350;0.389894
1990-03-03;22.500000;21.567502;0.389527
1990-03-04;22.110000;21.542242;0.404421
1990-03-05;22.020000;21.188138;0.384529
1990-03-06;22.580000;21.656620;0.405784
1990-03-07;22.480000;21.854876;0.381715
1990-03-08;22.480000;21.903246;0.392770
1990-03-09;22.860000;21.748388;0.392467
1990-03-10;22.700000;21.219351;0.395072
1990-03-11;23.790000;22.589070;0.399745
1990-03-12;20.250000;23.927170;0.411608
1990-03-13;18.920000;24.802873;0.402773
1990-03-14;20.720000;24.951921;0.424547
1990-03-15;21.180000;24.896128;0.406264
1990-03-16;22.160000;24.445406;0.395415
1990-03-17;23.150000;23.708739;0.393061
1990-03-18;22.820000;23.061219;0.399760
1990-03-19;22.910000;22.184274;0.422763
1990-03-20;22.620000;21.623253;0.418162
1990-03-21;22.620000;21.391531;0.422456
1990-03-22;21.950000;21.296354;0.418918
1990-03-23;21.320000;20.937479;0.408271
1990-03-24;20.760000;20.405542;0.416026
1990-03-25;20.320000;19.853972;0.405080
1990-03-26;19.600000;18.959432;0.391688
1990-03-27;19.060000;18.253777;0.417382
1990-03-28;18.690000;17.631170;0.404260
1990-03-29;18.390000;17.289285;0.391691
1990-03-30;17.630000;17.037700;0.402735
1990-03-31;16.870000;16.622582;0.404001
1990-04-01;16.830000;16.361467;0.393330
1990-04-02;16.310000;15.628965;0.380905
1990-04-03;15.680000;15.281716;0.390534
1990-04-04;15.040000;14.556332;0.378058
1990-04-05;14.660000;13.643800;0.389211
1990-04-06;14.410000;13.105367;0.376182
1990-04-07;14.120000;12.673574;0.363964
1990-04-08;13.740000;12.482282;0.376957
1990-04-09;12.740000;12.142547;0.378740
1990-04-10;12.740000;11.481271;0.377538
1990-04-11;12.740000;10.849008;0.353625
1990-04-12;12.740000;10.224586;0.358820
1990-04-13;12.700000;9.486512;0.349140
1990-04-14;12.070000;9.113757;0.323601
1990-04-15;12.070000;8.739737;0.318166
1990-04-16;12.070000;8.272045;0.314508
1990-04-17;12.070000;8.181810;0.304759
1990-04-18;12.050000;8.008804;0.292026
1990-04-19;11.650000;8.175286;0.305628
1990-04-20;11.290000;8.259112;0.304349
1990-04-21;10.820000;8.073780;0.293409
1990-04-22;10.770000;8.055380;0.288990
1990-04-23;10.640000;7.820137;0.269766
1990-04-24;10.770000;7.793083;0.279805
1990-04-25;10.770000;7.670860;0.286376
1990-04-26;10.250000;7.511682;0.288490
1990-04-27;10.140000;7.194153;0.269273
1990-04-28;10.140000;6.856812;0.259386
1990-04-29;10.140000;6.555846;0.261002
1990-04-30;10.140000;6.410101;0.255265
1990-05-01;10.140000;6.422680;0.266916
1990-05-02;10.020000;6.911706;0.280133
1990-05-03;9.040000;7.241600;0.271609
1990-05-04;8.900000;7.189591;0.268491
1990-05-05;8.900000;6.989604;0.254466
1990-05-06;8.740000;6.636720;0.260923
1990-05-07;8.300000;6.346876;0.261623
1990-05-08;8.300000;6.171336;0.265085
1990-05-09;8.090000;6.087584;0.265739
1990-05-10;7.860000;6.050428;0.258783
1990-05-11;8.070000;6.159137;0.252571
1990-05-12;8.090000;6.648658;0.270919
1990-05-13;7.740000;7.106947;0.275873
1990-05-14;7.290000;7.474503;0.277458
1990-05-15;7.140000;6.731249;0.277810
1990-05-16;7.140000;6.722216;0.279595
1990-05-17;6.800000;6.531207;0.260754
1990-05-18;6.570000;6.594933;0.267716
1990-05-19;6.430000;6.466162;0.258535
1990-05-20;6.050000;6.414808;0.270692
1990-05-21;5.690000;6.299674;0.266860
1990-05-22;5.500000;6.425636;0.268027
1990-05-23;5.500000;6.660317;0.292210
1990-05-24;5.300000;7.040920;0.299672
1990-05-25;4.940000;6.908524;0.308038
1990-05-26;4.680000;6.884711;0.304770
1990-05-27;4.520000;6.484257;0.296355
1990-05-28;4.500000;6.367982;0.281304
1990-05-29;4.300000;6.133415;0.287287
1990-05-30;4.030000;6.102159;0.292646
1990-05-31;4.030000;5.854107;0.285425
1990-06-01;4.020000;5.811235;0.277222
1990-06-02;3.640000;5.266935;0.272875
1990-06-03;3.590000;5.029993;0.262708
1990-06-04;3.410000;4.842342;0.282606
1990-06-05;3.200000;4.831468;0.272620
1990-06-06;3.170000;4.991449;0.254541
1990-06-07;3.170000;5.246057;0.272492
1990-06-08;3.160000;5.177000;0.261434
1990-06-09;2.950000;5.077011;0.271631
1990-06-10;2.890000;4.854858;0.278702
1990-06-11;3.100000;5.495254;0.291005
1990-06-12;2.780000;5.528309;0.296576
1990-06-13;2.780000;5.664535;0.320052
1990-06-14;3.300000;6.147246;0.328784
1990-06-15;4.560000;7.876825;0.418447
1990-06-16;4.990000;9.142681;0.493164
1990-06-17;4.960000;10.491726;0.529361
1990-06-18;4.540000;10.029157;0.496577
1990-06-19;4.500000;10.240501;0.519328
1990-06-20;4.460000;9.661883;0.530640
1990-06-21;4.200000;10.117476;0.511890
1990-06-22;4.030000;9.553094;0.492997
1990-06-23;3.760000;9.409383;0.504567
1990-06-24;3.410000;8.983383;0.476687
1990-06-25;3.170000;9.155859;0.524763
1990-06-26;3.170000;8.786337;0.493253
1990-06-27;3.010000;8.444260;0.509216
1990-06-28;2.890000;7.804790;0.491994
1990-06-29;2.780000;7.797034;0.472634
1990-06-30;2.780000;7.445673;0.452335
